,0
0,224517
1,161936
2,174430
3,342942
4,233078
5,167791
6,291457
7,115746
8,187645
9,316554
10,162886
11,220308
12,182028
13,12333
14,193738
15,169786
16,84876
17,173346
18,167355
19,28720
20,124361
21,246900
22,177736
23,266507
24,266192
25,120677
26,205637
27,237182
28,312484
29,164928
30,199792
31,183394
32,96848
33,251247
34,324856
35,341169
36,175914
37,192135
38,285774
39,256960
40,3076
41,247763
42,102794
43,170216
44,31260
45,185343
46,295947
47,184267
48,221107
49,205059
50,276025
51,314040
52,521
53,126163
54,2651
55,255984
56,284083
57,161533
58,216132
59,284378
60,244521
61,35677
62,164153
63,209010
64,125153
65,266810
66,55690
67,124742
68,182874
69,230802
70,72125
71,28143
72,191189
73,201808
74,157354
75,200680
76,253344
77,25613
78,159675
79,229853
80,121921
81,110327
82,171623
83,68448
84,62219
85,180263
86,317985
87,264220
88,231733
89,236457
90,93
91,37111
92,122515
93,279537
94,18602
95,225694
96,170042
97,172386
98,155821
99,40834
100,269385
101,73439
102,42
103,146021
104,203993
105,12493
106,163068
107,144733
108,163412
109,102680
110,205896
111,281259
112,218417
113,36218
114,233371
115,256916
116,366013
117,175640
118,178900
119,172287
120,198928
121,132531
122,196340
123,175155
124,263918
125,266524
126,4098
127,43015
128,30549
129,262712
130,217372
131,274364
132,127023
133,2511
134,118048
135,161970
136,271324
137,147020
138,233398
139,271055
140,308765
141,220877
142,146652
143,34635
144,254640
145,310873
146,14996
147,103885
148,77423
149,233867
150,148949
151,82222
152,296151
153,283948
154,328871
155,244522
156,463
157,265188
158,9609
159,43111
160,54043
161,268864
162,189932
163,104162
164,287954
165,188920
166,304783
167,249259
168,295770
169,10630
170,329082
171,282524
172,39463
173,17133
174,209418
175,128882
176,155426
177,199561
178,70149
179,103343
180,150376
181,294484
182,31627
183,12
184,25021
185,123260
186,14105
187,242302
188,104006
189,171131
190,221194
191,227224
192,188
193,195421
194,148228
195,283155
196,21050
197,245638
198,182631
199,126042
200,283355
201,300531
202,215
203,822
204,235802
205,91
206,271896
207,293014
208,306735
209,118
210,9209
211,7854
212,224037
213,146886
214,54998
215,318977
216,188834
217,285967
218,129437
219,314491
220,156129
221,295486
222,291453
223,223321
224,176189
225,232832
226,169426
227,158600
228,269207
229,109276
230,555
231,239188
232,192291
233,9216
234,199478
235,241451
236,194655
237,274637
238,176494
239,227935
240,19857
241,146508
242,198994
243,228341
244,20551
245,223040
246,421
247,31481
248,128621
249,27708
250,3
251,165722
252,310100
253,27833
254,300322
255,140620
256,155068
257,127060
258,232405
259,260605
260,286096
261,339789
262,204583
263,144344
264,224783
265,92828
266,760
267,108745
268,302723
269,24181
270,206718
271,176734
272,155873
273,246784
274,97207
275,2655
276,305096
277,66589
278,251661
279,22545
280,19777
281,38453
282,181279
283,160477
284,187617
285,154203
286,139976
287,46213
288,311193
289,93260
290,244271
291,316377
292,143693
293,230253
294,156546
295,59294
296,54138
297,298047
298,48726
299,13122
300,227789
301,209685
302,203420
303,299659
304,257499
305,54
306,163967
307,136888
308,2653
309,222509
310,193037
311,364073
312,129622
313,172081
314,188866
315,184921
316,172818
317,5
318,285192
319,40692
320,291572
321,245655
322,140934
323,45315
324,146439
325,172
326,50
327,270633
328,77130
329,25292
330,304420
331,219513
332,234277
333,297030
334,176920
335,234
336,59959
337,21241
338,39856
339,297562
340,111341
341,181304
342,70919
343,199042
344,37046
345,163745
346,119890
347,101721
348,41114
349,323612
350,192458
351,234487
352,256680
353,47
354,319966
355,63888
356,246192
357,8217
358,128271
359,90137
360,25554
361,39683
362,245934
363,24480
364,244711
365,250458
366,155987
367,182134
368,1
369,318184
370,277659
371,295374
372,9217
373,260428
374,33160
375,269210
376,215311
377,40354
378,17392
379,195539
380,31594
381,318084
382,70323
383,301880
384,150145
385,21348
386,265736
387,144592
388,256226
389,258779
390,236191
391,166669
392,372
393,71
394,204305
395,15987
396,194594
397,277085
398,198773
399,246684
400,262211
401,202426
402,154809
403,170771
404,40765
405,186751
406,161614
407,92415
408,54625
409,251658
410,229220
411,121
412,138161
413,36932
414,128671
415,55670
416,66188
417,243
418,124708
419,63628
420,215341
421,298069
422,34219
423,262543
424,100901
425,329839
426,151347
427,284653
428,27162
429,260180
430,258210
431,274638
432,336986
433,270844
434,171
435,66362
436,96913
437,293141
438,11170
439,79828
440,192153
441,176396
442,256730
443,18833
444,274960
445,150
446,264241
447,332800
448,240980
449,156858
450,137408
451,169427
452,194607
453,366161
454,197376
455,290236
456,62222
457,25417
458,150658
459,5404
460,15985
461,233312
462,105134
463,226522
464,284742
465,158899
466,157969
467,146791
468,136063
469,712
470,205398
471,83330
472,478
473,144189
474,17226
475,20437
476,343905
477,162082
478,269144
479,98778
480,15062
481,240196
482,232414
483,62227
484,128996
485,12942
486,177639
487,43570
488,325494
489,193042
490,256952
491,17405
492,13
493,191862
494,216600
495,180974
496,351913
497,119506
498,262215
499,11
500,97786
501,245654
502,21790
503,175095
504,247367
505,144797
506,206941
507,65781
508,105551
509,142379
510,156009
511,95527
512,303057
513,9674
514,171668
515,315767
516,36553
517,31999
518,127398
519,252328
520,125618
521,206480
522,221965
523,90419
524,336382
525,6249
526,322708
527,239942
528,133848
529,123123
530,147949
531,18
532,163968
533,875
534,102652
535,31730
536,133473
537,91312
538,27173
539,58421
540,284435
541,220
542,153938
543,97842
544,181530
545,196326
546,245961
547,276182
548,232043
549,42052
550,34119
551,84419
552,128780
553,183251
554,475
555,265402
556,290359
557,170561
558,22827
559,133038
560,28023
561,151022
562,27746
563,117959
564,192836
565,2346
566,15363
567,248490
568,503
569,177478
570,141572
571,159508
572,365717
573,283393
574,172308
575,4390
576,284189
577,42215
578,39351
579,155703
580,216734
581,264055
582,9625
583,160010
584,205359
585,3685
586,193949
587,270673
588,140603
589,39938
590,218603
591,130960
592,131357
593,6472
594,135219
595,269511
596,42776
597,338834
598,266121
599,212445
600,170624
601,169255
602,143519
603,364011
604,113924
605,183562
606,318182
607,30869
608,266830
609,111799
610,280794
611,340466
612,5782
613,174785
614,224710
615,37904
616,198953
617,10547
618,119432
619,432
620,46
621,699
622,1353
623,356033
624,24508
625,163166
626,257501
627,1513
628,292375
629,209778
630,190082
631,121408
632,13004
633,180511
634,286751
635,345584
636,296912
637,171499
638,244115
639,107529
640,3201
641,21763
642,50750
643,58281
644,316412
645,293296
646,258036
647,73171
648,328565
649,325635
650,100423
651,30380
652,271518
653,552
654,70512
655,121288
656,113294
657,88
658,233247
659,135779
660,203416
661,126792
662,153016
663,300300
664,134726
665,2398
666,150997
667,193558
668,213893
669,123540
670,242639
671,2955
672,87890
673,165401
674,132018
675,163839
676,20963
677,284760
678,65532
679,69789
680,160495
681,146278
682,231581
683,244114
684,306040
685,173064
686,154825
687,283864
688,345972
689,318009
690,29603
691,155624
692,168584
693,116998
694,270970
695,307002
696,156336
697,332686
698,281442
