,title,year_published,min_players,max_players,play_time,pt_min,pt_max,age,categories,mechanics,subdomain,num_honors
1,Die Macher,1986,3,5,240,240,240,14,"['Economic', 'Negotiation', 'Political']",[],Strategy Games,4
2,Dragonmaster,1981,3,4,30,30,30,12,"['Card Game', 'Fantasy']",[],Strategy Games,0
3,Samurai,1998,2,4,60,30,60,10,"['Abstract Strategy', 'Medieval']",[],Strategy Games,5
4,Tal der Könige,1992,2,4,60,60,60,12,['Ancient'],[],Strategy Games,0
5,Acquire,1964,2,6,90,90,90,12,"['Economic', 'Territory Building']",[],Strategy Games,2
101,Detroit-Cleveland Grand Prix,1996,2,6,60,60,60,8,"['Card Game', 'Racing']",[],Family Games,0
102,Klunker,1999,3,5,30,30,30,10,['Card Game'],[],Family Games,1
103,Titan,1980,2,6,240,30,240,12,"['Fantasy', 'Wargame']",[],Thematic Games,2
104,Extrablatt,1991,3,4,90,90,90,14,['Territory Building'],[],Strategy Games,0
105,Colossal Arena,1997,2,5,60,40,60,8,"['Card Game', 'Fantasy', 'Mythology']",[],Family Games,0
106,Mystery Rummy: Jack the Ripper,1998,2,4,45,45,45,10,"['Card Game', 'Murder/Mystery']",[],Family Games,1
107,Peaceful Resistance,1995,2,3,30,30,30,0,['Abstract Strategy'],[],Abstract Games,0
108,TAMSK,1998,2,2,20,20,20,8,"['Abstract Strategy', 'Real-time']",[],Abstract Games,0
109,Wettstreit der Baumeister,1994,3,4,45,45,45,10,['City Building'],[],Family Games,0
110,Auf Achse,1987,2,6,60,60,60,8,"['Economic', 'Movies / TV / Radio theme', 'Transportation']",[],Family Games,1
111,Rheinländer,1999,3,5,45,45,45,12,"['Abstract Strategy', 'Medieval', 'Territory Building']",[],Strategy Games,0
112,Condottiere,1995,2,6,45,45,45,14,"['Bluffing', 'Card Game', 'Medieval', 'Negotiation']",[],Strategy Games,2
113,Mit List und Tücke,1999,4,6,60,60,60,10,['Card Game'],[],Strategy Games,2
200,Entdecker,1996,2,4,60,60,60,10,['Exploration'],[],Family Games,2
